TOA5,CR1000_tower4_S,CR1000,75038,CR1000.Std.28,CPU:SH_Site4_South_1_0_09222016.CR1,20810,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,JUDD_AT_Avg,JUDD_Depth_Avg,Judd_offset_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
10/1/17 0:00,35750,274,0,0.027,0.001,9.41,2.896,1.187,1.001,0.08,0.001,8.86,4.993,1.291,1.001,0.048,0.001,8.58,3.715,1.234,1.001,0.027,-175.2,-112.6,0,NAN,-273.2
10/1/17 0:15,35751,274,15,0.027,0.001,9.33,2.896,1.187,1.001,0.08,0.001,8.87,4.992,1.291,1.001,0.048,0.001,8.56,3.713,1.234,1.001,0.027,-175.7,-111.8,0,NAN,-273.2
10/1/17 0:30,35752,274,30,0.027,0.001,9.23,2.896,1.187,1.001,0.08,0.001,8.88,4.992,1.291,1.001,0.048,0.001,8.55,3.714,1.234,1.001,0.027,-178.2,-108.9,0,NAN,-273.2
10/1/17 0:45,35753,274,45,0.027,0.001,9.2,2.895,1.187,1.001,0.08,0.001,8.87,4.99,1.291,1.002,0.048,0.001,8.56,3.715,1.234,1.001,0.027,-177.8,-109.8,0,NAN,-273.2
10/1/17 1:00,35754,274,100,0.027,0.001,9.12,2.896,1.187,1.001,0.08,0.001,8.89,4.992,1.291,1.001,0.048,0.001,8.59,3.714,1.234,1.001,0.027,-176.8,-110.9,0,NAN,-273.2
10/1/17 1:15,35755,274,115,0.027,0.001,9.02,2.896,1.187,1.001,0.08,0.001,8.9,4.992,1.291,1.001,0.048,0.001,8.57,3.713,1.234,1.001,0.027,-174.8,-113.2,0,NAN,-273.2
10/1/17 1:30,35756,274,130,0.027,0.001,8.96,2.896,1.187,1.001,0.08,0.001,8.87,4.99,1.291,1.002,0.048,0.001,8.58,3.711,1.234,1.001,0.027,-174.1,-114.4,0,NAN,-273.2
10/1/17 1:45,35757,274,145,0.027,0.001,8.89,2.894,1.187,1.001,0.08,0.001,8.88,4.992,1.291,1.001,0.048,0.001,8.59,3.713,1.234,1.001,0.027,-175,-112.8,0,NAN,-273.2
10/1/17 2:00,35758,274,200,0.027,0.001,8.79,2.894,1.187,1.001,0.08,0.001,8.87,4.992,1.291,1.001,0.048,0.001,8.59,3.714,1.234,1.001,0.027,-174.2,-114,0,NAN,-273.2
10/1/17 2:15,35759,274,215,0.027,0.001,8.74,2.896,1.187,1.001,0.08,0.001,8.89,4.993,1.291,1.001,0.048,0.001,8.59,3.715,1.234,1.001,0.027,-173.9,-114,0,NAN,-273.2
10/1/17 2:30,35760,274,230,0.027,0,8.7,2.898,1.187,1,0.08,0.001,8.9,4.992,1.291,1.001,0.048,0.001,8.58,3.713,1.234,1.001,0.027,-178.7,-107.9,0,NAN,-273.2
10/1/17 2:45,35761,274,245,0.027,0.001,8.61,2.896,1.187,1.001,0.08,0.001,8.9,4.993,1.291,1.001,0.048,0.001,8.58,3.713,1.234,1.001,0.027,-178.5,-109,0,NAN,-273.2
10/1/17 3:00,35762,274,300,0.027,0.001,8.55,2.895,1.187,1.001,0.08,0.001,8.88,4.992,1.291,1.001,0.048,0.001,8.58,3.713,1.234,1.001,0.027,-177.2,-110.1,0,NAN,-273.2
10/1/17 3:15,35763,274,315,0.027,0,8.47,2.897,1.187,1.001,0.08,0.001,8.88,4.992,1.291,1.001,0.048,0.001,8.6,3.712,1.234,1.001,0.027,-177.3,-110,0,NAN,-273.2
10/1/17 3:30,35764,274,330,0.027,0,8.39,2.897,1.187,1.001,0.08,0.001,8.87,4.991,1.291,1.002,0.048,0.001,8.61,3.712,1.234,1.001,0.027,-176.1,-111.5,0,NAN,-273.2
10/1/17 3:45,35765,274,345,0.027,0.001,8.29,2.895,1.187,1.001,0.08,0.001,8.88,4.992,1.291,1.001,0.048,0.001,8.57,3.711,1.234,1.001,0.027,-172.3,-116.1,0,NAN,-273.2
10/1/17 4:00,35766,274,400,0.027,0,8.24,2.897,1.187,1.001,0.08,0.001,8.87,4.992,1.291,1.001,0.048,0.001,8.61,3.715,1.234,1.001,0.027,-171.9,-116.5,0,NAN,-273.2
10/1/17 4:15,35767,274,415,0.027,0,8.14,2.899,1.187,1,0.08,0.001,8.86,4.992,1.291,1.002,0.048,0.001,8.62,3.713,1.234,1.001,0.027,-174.9,-112.9,0,NAN,-273.2
10/1/17 4:30,35768,274,430,0.027,0.001,8.11,2.896,1.187,1.001,0.08,0.001,8.85,4.992,1.291,1.001,0.048,0.001,8.64,3.715,1.234,1.001,0.027,-174.1,-114.3,0,NAN,-273.2
