TOA5,CR1000_nasa,CR1000,84884,CR1000.Std.31.02,CPU:SH_site1_hill2_11092018.CR1,30628,Enviro,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,TT_C,SBT_C
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,Deg C,Deg C
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp
11/2/18 12:00,0,306,1200,0.005,0,0.489,0.334,0.091,0.072,0.01,0.003,0.634,0.554,0.099,0.075,0.013,0.004,0.664,0.68,0.105,0.076,NAN,-111.6
11/2/18 12:15,1,306,1215,0.072,0.003,6.871,4.682,1.267,1.004,0.142,0.045,8.87,7.756,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-111.6
11/2/18 12:30,2,306,1230,0.072,0.002,7.266,4.688,1.267,1.003,0.143,0.045,8.87,7.786,1.392,1.055,0.179,0.054,9.31,9.53,1.466,1.066,NAN,-117.4
11/2/18 12:45,3,306,1245,0.072,0.003,7.612,4.685,1.267,1.004,0.143,0.044,8.87,7.789,1.392,1.054,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/2/18 13:00,4,306,1300,0.072,0.003,7.93,4.685,1.267,1.004,0.143,0.044,8.86,7.786,1.392,1.054,0.179,0.054,9.31,9.53,1.466,1.065,NAN,-117.4
11/2/18 13:15,5,306,1315,0.072,0.003,8.25,4.686,1.267,1.004,0.142,0.044,8.85,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/2/18 13:30,6,306,1330,0.073,0.003,8.64,4.712,1.268,1.003,0.142,0.044,8.83,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/2/18 13:45,7,306,1345,0.073,0.003,9.09,4.71,1.268,1.004,0.142,0.045,8.81,7.754,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-273.2
11/2/18 14:00,8,306,1400,0.073,0.003,9.53,4.713,1.268,1.004,0.142,0.045,8.81,7.754,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.065,NAN,NAN
11/2/18 14:15,9,306,1415,0.073,0.003,9.96,4.737,1.269,1.004,0.142,0.044,8.81,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-273.2
11/2/18 14:30,10,306,1430,0.073,0.003,10.34,4.734,1.269,1.004,0.142,0.044,8.8,7.756,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.066,NAN,NAN
11/2/18 14:45,11,306,1445,0.073,0.003,10.63,4.736,1.269,1.004,0.142,0.045,8.77,7.754,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/2/18 15:00,12,306,1500,0.073,0.003,10.83,4.737,1.269,1.004,0.142,0.044,8.77,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.065,NAN,-117.4
11/2/18 15:15,13,306,1515,0.074,0.003,11.01,4.763,1.27,1.004,0.142,0.044,8.78,7.755,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.066,NAN,NAN
11/2/18 15:30,14,306,1530,0.074,0.003,11.11,4.762,1.27,1.004,0.142,0.044,8.76,7.756,1.391,1.054,0.179,0.053,9.29,9.53,1.466,1.065,NAN,-273.2
11/2/18 15:45,15,306,1545,0.074,0.003,11.15,4.763,1.27,1.004,0.142,0.044,8.77,7.756,1.391,1.054,0.179,0.054,9.32,9.53,1.466,1.066,NAN,NAN
11/2/18 16:00,16,306,1600,0.074,0.003,11.22,4.762,1.27,1.004,0.142,0.044,8.76,7.755,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,NAN
11/2/18 16:15,17,306,1615,0.074,0.003,11.21,4.763,1.27,1.004,0.142,0.044,8.75,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/2/18 16:30,18,306,1630,0.074,0.003,11.2,4.76,1.27,1.004,0.142,0.044,8.75,7.757,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-117.4
11/2/18 16:45,19,306,1645,0.074,0.003,11.13,4.761,1.27,1.004,0.142,0.044,8.74,7.758,1.391,1.054,0.179,0.054,9.27,9.53,1.466,1.066,NAN,-117.4
11/2/18 17:00,20,306,1700,0.074,0.003,11.11,4.765,1.27,1.004,0.142,0.044,8.74,7.757,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/2/18 17:15,21,306,1715,0.075,0.003,11.06,4.787,1.272,1.004,0.142,0.045,8.74,7.754,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.066,NAN,-273.2
11/2/18 17:30,22,306,1730,0.074,0.003,11.02,4.764,1.27,1.004,0.142,0.044,8.74,7.757,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-117.4
11/2/18 17:45,23,306,1745,0.075,0.003,10.93,4.787,1.272,1.004,0.142,0.044,8.74,7.756,1.391,1.054,0.179,0.054,9.29,9.53,1.466,1.065,NAN,-273.2
11/2/18 18:00,24,306,1800,0.075,0.003,10.85,4.789,1.272,1.004,0.142,0.045,8.77,7.754,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/2/18 18:15,25,306,1815,0.075,0.003,10.77,4.79,1.272,1.004,0.142,0.044,8.78,7.756,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-117.4
11/2/18 18:30,26,306,1830,0.075,0.003,10.7,4.79,1.272,1.004,0.142,0.044,8.78,7.757,1.391,1.054,0.179,0.054,9.25,9.53,1.466,1.065,NAN,-273.2
11/2/18 18:45,27,306,1845,0.075,0.003,10.58,4.788,1.272,1.004,0.142,0.044,8.79,7.755,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-273.2
11/2/18 19:00,28,306,1900,0.074,0.003,10.49,4.763,1.27,1.004,0.142,0.044,8.78,7.756,1.391,1.054,0.179,0.054,9.28,9.53,1.466,1.066,NAN,-117.4
11/2/18 19:15,29,306,1915,0.074,0.003,10.34,4.763,1.27,1.004,0.142,0.044,8.82,7.756,1.391,1.054,0.179,0.054,9.28,9.53,1.466,1.066,NAN,-117.4
11/2/18 19:30,30,306,1930,0.074,0.004,10.25,4.76,1.27,1.004,0.142,0.044,8.82,7.755,1.391,1.054,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-117.4
11/2/18 19:45,31,306,1945,0.074,0.004,10.1,4.758,1.27,1.004,0.142,0.045,8.84,7.755,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.066,NAN,NAN
11/2/18 20:00,32,306,2000,0.074,0.003,9.98,4.761,1.27,1.004,0.142,0.044,8.86,7.756,1.391,1.054,0.179,0.054,9.28,9.53,1.466,1.065,NAN,-111.6
11/2/18 20:15,33,306,2015,0.074,0.003,9.86,4.76,1.27,1.004,0.142,0.044,8.87,7.756,1.391,1.054,0.179,0.054,9.27,9.53,1.466,1.065,NAN,-273.2
11/2/18 20:30,34,306,2030,0.074,0.003,9.77,4.763,1.27,1.004,0.142,0.044,8.89,7.756,1.391,1.054,0.179,0.054,9.28,9.53,1.466,1.066,NAN,-273.2
11/2/18 20:45,35,306,2045,0.074,0.003,9.65,4.76,1.27,1.004,0.142,0.045,8.89,7.75,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.066,NAN,-111.5
11/2/18 21:00,36,306,2100,0.074,0.003,9.54,4.762,1.27,1.004,0.142,0.044,8.91,7.725,1.39,1.054,0.179,0.053,9.26,9.53,1.466,1.065,NAN,-111.5
11/2/18 21:15,37,306,2115,0.074,0.003,9.41,4.763,1.27,1.004,0.142,0.045,8.91,7.752,1.391,1.055,0.179,0.054,9.24,9.53,1.466,1.066,NAN,-273.2
11/2/18 21:30,38,306,2130,0.074,0.003,9.32,4.763,1.27,1.004,0.142,0.045,8.95,7.755,1.391,1.054,0.179,0.054,9.25,9.53,1.466,1.065,NAN,-108
11/2/18 21:45,39,306,2145,0.074,0.003,9.19,4.762,1.27,1.004,0.142,0.045,8.98,7.754,1.391,1.055,0.179,0.053,9.28,9.53,1.466,1.065,NAN,NAN
11/2/18 22:00,40,306,2200,0.074,0.003,9.09,4.761,1.27,1.004,0.142,0.045,8.99,7.752,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-273.2
11/2/18 22:15,41,306,2215,0.073,0.003,8.98,4.736,1.269,1.004,0.142,0.045,9,7.755,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.065,NAN,-273.2
11/2/18 22:30,42,306,2230,0.073,0.003,8.9,4.738,1.269,1.004,0.142,0.045,9.02,7.755,1.391,1.054,0.179,0.054,9.27,9.53,1.466,1.066,NAN,-273.2
11/2/18 22:45,43,306,2245,0.073,0.003,8.81,4.734,1.269,1.004,0.142,0.045,9.01,7.753,1.391,1.055,0.179,0.054,9.25,9.53,1.466,1.065,NAN,-273.2
11/2/18 23:00,44,306,2300,0.073,0.003,8.68,4.735,1.269,1.004,0.142,0.045,9.05,7.755,1.391,1.055,0.179,0.053,9.28,9.53,1.466,1.065,NAN,NAN
11/2/18 23:15,45,306,2315,0.073,0.003,8.6,4.739,1.269,1.003,0.142,0.045,9.05,7.754,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-273.2
11/2/18 23:30,46,306,2330,0.073,0.003,8.5,4.737,1.269,1.004,0.142,0.045,9.07,7.754,1.391,1.055,0.179,0.054,9.25,9.53,1.466,1.066,NAN,NAN
11/2/18 23:45,47,306,2345,0.073,0.003,8.41,4.736,1.269,1.004,0.142,0.044,9.05,7.756,1.391,1.054,0.179,0.053,9.26,9.53,1.466,1.065,NAN,NAN
11/3/18 0:00,48,307,0,0.073,0.003,8.27,4.737,1.269,1.004,0.142,0.045,9.1,7.755,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.066,NAN,-117.4
11/3/18 0:15,49,307,15,0.073,0.003,8.19,4.737,1.269,1.004,0.142,0.045,9.09,7.754,1.391,1.055,0.179,0.054,9.25,9.53,1.466,1.066,NAN,NAN
11/3/18 0:30,50,307,30,0.073,0.003,8.11,4.736,1.269,1.003,0.142,0.045,9.1,7.752,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-117.4
11/3/18 0:45,51,307,45,0.073,0.003,7.999,4.71,1.268,1.004,0.142,0.045,9.12,7.753,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.066,NAN,NAN
11/3/18 1:00,52,307,100,0.073,0.003,7.943,4.711,1.268,1.004,0.142,0.045,9.14,7.755,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-117.4
11/3/18 1:15,53,307,115,0.073,0.003,7.873,4.71,1.268,1.004,0.142,0.045,9.14,7.752,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-117.4
11/3/18 1:30,54,307,130,0.073,0.003,7.804,4.711,1.268,1.004,0.142,0.045,9.15,7.753,1.391,1.055,0.179,0.054,9.24,9.53,1.466,1.066,NAN,-273.2
11/3/18 1:45,55,307,145,0.073,0.003,7.71,4.711,1.268,1.004,0.142,0.045,9.17,7.753,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.066,NAN,-117.4
11/3/18 2:00,56,307,200,0.073,0.003,7.62,4.711,1.268,1.004,0.142,0.045,9.15,7.755,1.391,1.055,0.179,0.054,9.25,9.53,1.466,1.066,NAN,NAN
11/3/18 2:15,57,307,215,0.073,0.003,7.57,4.711,1.268,1.003,0.142,0.045,9.16,7.754,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.065,NAN,NAN
11/3/18 2:30,58,307,230,0.073,0.003,7.485,4.712,1.268,1.003,0.142,0.045,9.17,7.753,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,NAN
11/3/18 2:45,59,307,245,0.073,0.003,7.404,4.707,1.268,1.004,0.142,0.045,9.19,7.755,1.391,1.055,0.179,0.054,9.23,9.53,1.466,1.065,NAN,NAN
11/3/18 3:00,60,307,300,0.073,0.003,7.341,4.71,1.268,1.004,0.142,0.045,9.18,7.754,1.391,1.055,0.179,0.054,9.25,9.53,1.466,1.066,NAN,-273.2
11/3/18 3:15,61,307,315,0.073,0.003,7.222,4.708,1.268,1.004,0.142,0.045,9.19,7.752,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-273.2
11/3/18 3:30,62,307,330,0.072,0.003,7.165,4.684,1.267,1.004,0.142,0.045,9.19,7.753,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-273.2
11/3/18 3:45,63,307,345,0.072,0.003,7.1,4.683,1.267,1.004,0.142,0.045,9.2,7.755,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.066,NAN,-117.4
11/3/18 4:00,64,307,400,0.072,0.003,7.031,4.686,1.267,1.003,0.142,0.045,9.19,7.753,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,NAN
11/3/18 4:15,65,307,415,0.072,0.003,6.983,4.684,1.267,1.004,0.142,0.045,9.18,7.754,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.065,NAN,NAN
11/3/18 4:30,66,307,430,0.072,0.003,6.894,4.685,1.267,1.004,0.142,0.045,9.15,7.753,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,NAN
11/3/18 4:45,67,307,445,0.072,0.003,6.833,4.682,1.267,1.004,0.142,0.045,9.19,7.753,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,NAN
11/3/18 5:00,68,307,500,0.072,0.003,6.76,4.683,1.267,1.004,0.142,0.045,9.19,7.753,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/3/18 5:15,69,307,515,0.072,0.003,6.735,4.682,1.267,1.004,0.142,0.045,9.17,7.753,1.391,1.055,0.179,0.055,9.29,9.52,1.466,1.066,NAN,NAN
11/3/18 5:30,70,307,530,0.072,0.003,6.608,4.684,1.267,1.004,0.142,0.045,9.16,7.754,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.066,NAN,NAN
11/3/18 5:45,71,307,545,0.072,0.003,6.543,4.686,1.267,1.003,0.142,0.045,9.15,7.75,1.391,1.056,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-108
11/3/18 6:00,72,307,600,0.072,0.003,6.516,4.684,1.267,1.003,0.142,0.045,9.16,7.753,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.065,NAN,NAN
11/3/18 6:15,73,307,615,0.071,0.003,6.415,4.659,1.266,1.003,0.142,0.045,9.18,7.754,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-117.4
11/3/18 6:30,74,307,630,0.071,0.003,6.395,4.656,1.266,1.004,0.142,0.045,9.15,7.753,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.066,NAN,-111.5
11/3/18 6:45,75,307,645,0.071,0.003,6.348,4.659,1.266,1.003,0.142,0.045,9.16,7.751,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,NAN
11/3/18 7:00,76,307,700,0.071,0.003,6.27,4.656,1.266,1.004,0.142,0.045,9.14,7.753,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.065,NAN,-273.2
11/3/18 7:15,77,307,715,0.071,0.003,6.268,4.659,1.266,1.003,0.142,0.045,9.15,7.752,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-273.2
11/3/18 7:30,78,307,730,0.072,0.003,6.192,4.658,1.266,1.003,0.142,0.045,9.14,7.755,1.391,1.055,0.179,0.054,9.27,9.53,1.466,1.066,NAN,-108
11/3/18 7:45,79,307,745,0.072,0.002,6.146,4.662,1.266,1.003,0.142,0.045,9.14,7.752,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.065,NAN,NAN
11/3/18 8:00,80,307,800,0.072,0.003,6.08,4.66,1.266,1.003,0.142,0.045,9.11,7.752,1.391,1.055,0.179,0.053,9.25,9.53,1.466,1.065,NAN,-273.2
11/3/18 8:15,81,307,815,0.071,0.003,6.013,4.656,1.266,1.004,0.142,0.045,9.11,7.752,1.391,1.055,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-108
11/3/18 8:30,82,307,830,0.071,0.003,5.97,4.631,1.265,1.004,0.142,0.045,9.1,7.753,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.065,NAN,-273.2
11/3/18 8:45,83,307,845,0.071,0.003,5.921,4.629,1.265,1.004,0.142,0.045,9.1,7.754,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.065,NAN,-273.2
11/3/18 9:00,84,307,900,0.071,0.003,5.861,4.63,1.265,1.004,0.142,0.045,9.07,7.753,1.391,1.055,0.179,0.054,9.31,9.53,1.466,1.065,NAN,NAN
11/3/18 9:15,85,307,915,0.071,0.003,5.841,4.631,1.265,1.004,0.142,0.045,9.07,7.754,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.065,NAN,NAN
11/3/18 9:30,86,307,930,0.071,0.003,5.832,4.631,1.265,1.004,0.142,0.045,9.05,7.754,1.391,1.055,0.179,0.054,9.32,9.53,1.466,1.066,NAN,-273.2
11/3/18 9:45,87,307,945,0.071,0.003,5.824,4.634,1.265,1.003,0.142,0.045,9.06,7.753,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,NAN
11/3/18 10:00,88,307,1000,0.071,0.002,5.82,4.635,1.265,1.003,0.142,0.045,9.04,7.755,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-273.2
11/3/18 10:15,89,307,1015,0.071,0.003,5.783,4.63,1.265,1.004,0.142,0.045,9.03,7.754,1.391,1.055,0.179,0.054,9.31,9.53,1.466,1.065,NAN,-273.2
11/3/18 10:30,90,307,1030,0.071,0.003,5.884,4.631,1.265,1.003,0.142,0.045,9.04,7.751,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.065,NAN,-117.4
11/3/18 10:45,91,307,1045,0.071,0.003,5.887,4.632,1.265,1.003,0.142,0.044,9.02,7.755,1.391,1.054,0.179,0.054,9.26,9.53,1.466,1.066,NAN,-273.2
11/3/18 11:00,92,307,1100,0.071,0.003,5.936,4.633,1.265,1.003,0.142,0.045,9.01,7.755,1.391,1.055,0.179,0.054,9.28,9.53,1.466,1.066,NAN,NAN
11/3/18 11:15,93,307,1115,0.071,0.003,6.011,4.632,1.265,1.003,0.142,0.045,8.97,7.752,1.391,1.055,0.179,0.054,9.34,9.53,1.466,1.065,NAN,-111.6
11/3/18 11:30,94,307,1130,0.071,0.003,6.123,4.632,1.265,1.003,0.142,0.045,8.98,7.754,1.391,1.055,0.179,0.054,9.32,9.53,1.466,1.066,NAN,-273.2
11/3/18 11:45,95,307,1145,0.071,0.003,6.253,4.632,1.265,1.003,0.142,0.045,8.96,7.754,1.391,1.055,0.179,0.054,9.32,9.53,1.466,1.065,NAN,-117.4
11/3/18 12:00,96,307,1200,0.071,0.003,6.373,4.63,1.265,1.004,0.142,0.045,8.95,7.753,1.391,1.055,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/3/18 12:15,97,307,1215,0.071,0.003,6.627,4.634,1.265,1.003,0.142,0.045,8.94,7.754,1.391,1.055,0.179,0.053,9.31,9.53,1.466,1.065,NAN,NAN
11/3/18 12:30,98,307,1230,0.071,0.003,6.89,4.631,1.265,1.004,0.142,0.045,8.94,7.754,1.391,1.055,0.179,0.054,9.33,9.53,1.466,1.065,NAN,NAN
11/3/18 12:45,99,307,1245,0.071,0.002,7.138,4.634,1.265,1.003,0.142,0.045,8.93,7.754,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.065,NAN,-111.6
11/3/18 13:00,100,307,1300,0.071,0.002,7.465,4.635,1.265,1.003,0.142,0.045,8.9,7.754,1.391,1.055,0.179,0.054,9.32,9.53,1.466,1.066,NAN,NAN
11/3/18 13:15,101,307,1315,0.071,0.003,7.74,4.635,1.265,1.003,0.142,0.044,8.88,7.756,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,NAN
11/3/18 13:30,102,307,1330,0.071,0.003,8.05,4.659,1.266,1.003,0.142,0.044,8.9,7.755,1.391,1.054,0.179,0.054,9.35,9.53,1.466,1.066,NAN,NAN
11/3/18 13:45,103,307,1345,0.071,0.003,8.42,4.659,1.266,1.003,0.142,0.044,8.86,7.756,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.065,NAN,NAN
11/3/18 14:00,104,307,1400,0.071,0.003,8.81,4.658,1.266,1.004,0.142,0.045,8.85,7.754,1.391,1.055,0.179,0.054,9.3,9.53,1.466,1.065,NAN,NAN
11/3/18 14:15,105,307,1415,0.072,0.003,9.17,4.66,1.266,1.004,0.142,0.045,8.85,7.754,1.391,1.055,0.179,0.054,9.35,9.53,1.466,1.065,NAN,-111.6
11/3/18 14:30,106,307,1430,0.072,0.003,9.46,4.683,1.267,1.004,0.142,0.044,8.83,7.755,1.391,1.054,0.179,0.054,9.32,9.53,1.466,1.066,NAN,NAN
11/3/18 14:45,107,307,1445,0.072,0.003,9.68,4.683,1.267,1.004,0.142,0.044,8.83,7.756,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.066,NAN,-273.2
11/3/18 15:00,108,307,1500,0.072,0.003,9.86,4.684,1.267,1.004,0.142,0.044,8.82,7.756,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.065,NAN,-117.4
11/3/18 15:15,109,307,1515,0.072,0.003,9.98,4.685,1.267,1.004,0.142,0.045,8.81,7.754,1.391,1.055,0.179,0.054,9.31,9.53,1.466,1.065,NAN,NAN
11/3/18 15:30,110,307,1530,0.072,0.003,10.08,4.683,1.267,1.004,0.142,0.044,8.8,7.755,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.065,NAN,-273.2
11/3/18 15:45,111,307,1545,0.072,0.003,10.18,4.685,1.267,1.004,0.142,0.045,8.79,7.755,1.391,1.055,0.179,0.054,9.31,9.53,1.466,1.065,NAN,-117.4
11/3/18 16:00,112,307,1600,0.072,0.003,10.23,4.684,1.267,1.004,0.142,0.044,8.77,7.757,1.391,1.054,0.179,0.054,9.32,9.53,1.466,1.066,NAN,NAN
11/3/18 16:15,113,307,1615,0.072,0.003,10.22,4.683,1.267,1.004,0.142,0.044,8.77,7.755,1.391,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-117.4
11/3/18 16:30,114,307,1630,0.072,0.003,10.22,4.683,1.267,1.004,0.142,0.044,8.79,7.756,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.065,NAN,-273.2
11/3/18 16:45,115,307,1645,0.072,0.003,10.14,4.684,1.267,1.004,0.142,0.044,8.76,7.756,1.391,1.054,0.179,0.054,9.31,9.53,1.466,1.066,NAN,NAN
11/3/18 17:00,116,307,1700,0.072,0.003,10.13,4.683,1.267,1.004,0.142,0.044,8.76,7.756,1.391,1.054,0.179,0.054,9.33,9.53,1.466,1.066,NAN,-273.2
11/3/18 17:15,117,307,1715,0.072,0.003,10.06,4.684,1.267,1.004,0.142,0.045,8.75,7.754,1.391,1.055,0.179,0.054,9.33,9.53,1.466,1.066,NAN,-273.2
11/3/18 17:30,118,307,1730,0.072,0.003,10.04,4.684,1.267,1.004,0.142,0.044,8.75,7.755,1.391,1.054,0.179,0.054,9.32,9.53,1.466,1.066,NAN,NAN
11/3/18 17:45,119,307,1745,0.072,0.003,9.99,4.682,1.267,1.004,0.142,0.044,8.76,7.754,1.391,1.054,0.179,0.054,9.28,9.53,1.466,1.065,NAN,-117.4
11/3/18 18:00,120,307,1800,0.072,0.003,9.93,4.684,1.267,1.004,0.142,0.044,8.75,7.722,1.39,1.054,0.179,0.054,9.32,9.53,1.466,1.065,NAN,NAN
11/3/18 18:15,121,307,1815,0.072,0.003,9.82,4.683,1.267,1.004,0.142,0.044,8.77,7.723,1.39,1.054,0.179,0.054,9.27,9.53,1.466,1.066,NAN,NAN
11/3/18 18:30,122,307,1830,0.072,0.003,9.74,4.683,1.267,1.004,0.142,0.045,8.76,7.72,1.39,1.055,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-273.2
11/3/18 18:45,123,307,1845,0.072,0.003,9.68,4.684,1.267,1.004,0.142,0.044,8.77,7.722,1.39,1.054,0.179,0.054,9.29,9.53,1.466,1.066,NAN,-117.4
11/3/18 19:00,124,307,1900,0.072,0.003,9.59,4.684,1.267,1.004,0.142,0.044,8.78,7.722,1.39,1.054,0.179,0.054,9.26,9.53,1.466,1.065,NAN,NAN
11/3/18 19:15,125,307,1915,0.072,0.003,9.52,4.682,1.267,1.004,0.142,0.044,8.78,7.722,1.39,1.054,0.179,0.054,9.3,9.53,1.466,1.066,NAN,-117.4
11/3/18 19:30,126,307,1930,0.072,0.003,9.43,4.683,1.267,1.004,0.142,0.044,8.81,7.724,1.39,1.054,0.179,0.054,9.29,9.53,1.466,1.065,NAN,NAN
11/3/18 19:45,127,307,1945,0.072,0.003,9.34,4.684,1.267,1.004,0.142,0.044,8.8,7.723,1.39,1.054,0.179,0.054,9.3,9.53,1.466,1.065,NAN,-117.4
11/3/18 20:00,128,307,2000,0.072,0.003,9.25,4.683,1.267,1.004,0.142,0.044,8.82,7.725,1.39,1.054,0.179,0.054,9.27,9.53,1.466,1.066,NAN,-273.2
11/3/18 20:15,129,307,2015,0.072,0.003,9.15,4.684,1.267,1.004,0.142,0.045,8.84,7.721,1.39,1.055,0.179,0.054,9.28,9.53,1.466,1.065,NAN,-117.4
11/3/18 20:30,130,307,2030,0.072,0.003,9.06,4.681,1.267,1.004,0.142,0.044,8.85,7.722,1.39,1.054,0.179,0.054,9.28,9.53,1.466,1.065,NAN,NAN
11/3/18 20:45,131,307,2045,0.072,0.003,8.98,4.685,1.267,1.003,0.142,0.045,8.85,7.72,1.39,1.055,0.179,0.054,9.24,9.53,1.466,1.065,NAN,-273.2
11/3/18 21:00,132,307,2100,0.072,0.003,8.9,4.684,1.267,1.004,0.142,0.044,8.86,7.723,1.39,1.054,0.179,0.053,9.26,9.53,1.466,1.065,NAN,NAN
11/3/18 21:15,133,307,2115,0.072,0.003,8.82,4.683,1.267,1.004,0.142,0.044,8.89,7.722,1.39,1.054,0.179,0.054,9.27,9.53,1.466,1.066,NAN,-111.5
11/3/18 21:30,134,307,2130,0.072,0.003,8.71,4.687,1.267,1.003,0.142,0.044,8.88,7.723,1.39,1.054,0.179,0.054,9.25,9.53,1.466,1.066,NAN,-117.4
11/3/18 21:45,135,307,2145,0.072,0.003,8.64,4.684,1.267,1.004,0.142,0.044,8.9,7.723,1.39,1.054,0.179,0.054,9.26,9.53,1.466,1.065,NAN,NAN
11/3/18 22:00,136,307,2200,0.072,0.003,8.53,4.684,1.267,1.004,0.142,0.044,8.89,7.723,1.39,1.054,0.179,0.054,9.26,9.53,1.466,1.065,NAN,-111.5
11/3/18 22:15,137,307,2215,0.072,0.003,8.47,4.682,1.267,1.004,0.142,0.044,8.91,7.722,1.39,1.054,0.179,0.054,9.24,9.53,1.466,1.066,NAN,-273.2
11/3/18 22:30,138,307,2230,0.071,0.003,8.4,4.658,1.266,1.004,0.142,0.044,8.91,7.723,1.39,1.054,0.179,0.054,9.24,9.53,1.466,1.066,NAN,-273.2
