TOA5,CR1000_tower3_cluster,CR1000,78272,CR1000.Std.28.02,CPU:SH_tow3_cluster_2017.CR1,22084,Enviro,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Day_of_Year,Hour,VWC_1_Avg,EC_1_Avg,ST_1_Avg,P_1_Avg,PA_1_Avg,VR_1_Avg,VWC_2_Avg,EC_2_Avg,ST_2_Avg,P_2_Avg,PA_2_Avg,VR_2_Avg,VWC_3_Avg,EC_3_Avg,ST_3_Avg,P_3_Avg,PA_3_Avg,VR_3_Avg,SWE_mv_Avg,maxbot_volt_Avg,maxbot_dist_Avg,TT_C,SBT_C,
TS,RN,,,m^3/m^3,dS/m,Deg C,unitless,nSec,unitless,,,,,,,,,,,,,,,,Deg C,Deg C,
,,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,
9/30/17 15:00,197,273,1500,0.16,0.003,12.27,8.59,1.417,1.004,0.119,0.003,9.27,6.689,1.353,1.004,0.114,0.008,9.15,6.464,1.346,1.01,NAN,-597.9,230.2,0,NAN,-273.2
9/30/17 15:15,198,273,1515,0.159,0.003,12.32,8.56,1.416,1.004,0.119,0.003,9.23,6.688,1.353,1.004,0.114,0.007,9.17,6.467,1.346,1.009,NAN,-593.1,228.6,0,NAN,-273.2
9/30/17 15:30,199,273,1530,0.159,0.003,12.42,8.56,1.416,1.004,0.119,0.003,9.26,6.69,1.353,1.004,0.114,0.008,9.18,6.464,1.346,1.01,NAN,-593,228.8,0,NAN,-273.2
9/30/17 15:45,200,273,1545,0.159,0.003,12.59,8.56,1.416,1.004,0.119,0.003,9.26,6.689,1.353,1.004,0.114,0.008,9.17,6.463,1.346,1.01,NAN,-579.7,223.7,0,NAN,-273.2
9/30/17 16:00,201,273,1600,0.159,0.003,12.74,8.56,1.416,1.004,0.119,0.003,9.25,6.688,1.353,1.004,0.114,0.008,9.16,6.464,1.346,1.01,NAN,-591.2,228.4,0,NAN,-273.2
9/30/17 16:15,202,273,1615,0.159,0.003,12.94,8.56,1.416,1.004,0.119,0.003,9.25,6.69,1.353,1.004,0.114,0.008,9.16,6.464,1.346,1.01,NAN,-590.8,228,0,NAN,-273.2
9/30/17 16:30,203,273,1630,0.159,0.004,13.09,8.53,1.415,1.004,0.119,0.003,9.26,6.686,1.353,1.005,0.114,0.008,9.16,6.465,1.346,1.01,NAN,-568.4,220.1,0,NAN,-273.2
9/30/17 16:45,204,273,1645,0.159,0.004,13.17,8.53,1.415,1.004,0.119,0.003,9.27,6.687,1.353,1.004,0.114,0.008,9.16,6.46,1.346,1.011,NAN,-582.1,225,0,NAN,-273.2
9/30/17 17:00,205,273,1700,0.159,0.004,13.23,8.53,1.415,1.005,0.119,0.003,9.27,6.687,1.353,1.004,0.114,0.008,9.16,6.462,1.346,1.01,NAN,-580.2,224.4,0,NAN,-273.2
9/30/17 17:15,206,273,1715,0.159,0.003,13.31,8.53,1.415,1.004,0.119,0.003,9.28,6.688,1.353,1.004,0.114,0.008,9.15,6.461,1.346,1.011,NAN,-584.8,226.4,0,NAN,-273.2
9/30/17 17:30,207,273,1730,0.159,0.004,13.34,8.53,1.415,1.004,0.119,0.003,9.29,6.688,1.353,1.004,0.114,0.008,9.15,6.461,1.346,1.01,NAN,-585,226.6,0,NAN,-273.2
9/30/17 17:45,208,273,1745,0.158,0.003,13.32,8.5,1.414,1.004,0.119,0.003,9.31,6.688,1.353,1.004,0.114,0.008,9.14,6.466,1.346,1.01,NAN,-577.3,223.5,0,NAN,-273.2
9/30/17 18:00,209,273,1800,0.158,0.004,13.29,8.49,1.414,1.004,0.119,0.003,9.33,6.689,1.353,1.004,0.114,0.008,9.15,6.465,1.346,1.01,NAN,-579.3,224.4,0,NAN,-273.2
9/30/17 18:15,210,273,1815,0.158,0.004,13.25,8.49,1.414,1.004,0.119,0.003,9.33,6.688,1.353,1.004,0.114,0.008,9.11,6.465,1.346,1.01,NAN,-574.3,222.2,0,NAN,-273.2
9/30/17 18:30,211,273,1830,0.158,0.004,13.2,8.49,1.414,1.004,0.119,0.003,9.37,6.688,1.353,1.004,0.114,0.008,9.14,6.464,1.346,1.01,NAN,-572.7,221.8,0,NAN,-273.2
9/30/17 18:45,212,273,1845,0.157,0.003,13.14,8.46,1.413,1.004,0.119,0.003,9.38,6.69,1.353,1.004,0.114,0.008,9.13,6.461,1.346,1.01,NAN,-570.5,220.8,0,NAN,-273.2
9/30/17 19:00,213,273,1900,0.157,0.003,13.05,8.46,1.413,1.004,0.119,0.003,9.39,6.689,1.353,1.004,0.114,0.008,9.12,6.463,1.346,1.01,NAN,-570.1,220.8,0,NAN,-273.2
9/30/17 19:15,214,273,1915,0.157,0.003,12.93,8.46,1.413,1.004,0.119,0.003,9.42,6.689,1.353,1.004,0.114,0.008,9.13,6.464,1.346,1.01,NAN,-572.2,221.3,0,NAN,-273.2
9/30/17 19:30,215,273,1930,0.157,0.003,12.83,8.46,1.413,1.004,0.119,0.003,9.44,6.688,1.353,1.004,0.114,0.008,9.09,6.466,1.346,1.01,NAN,-571,221.2,0,NAN,-273.2
9/30/17 19:45,216,273,1945,0.157,0.003,12.71,8.46,1.413,1.004,0.119,0.003,9.47,6.687,1.353,1.004,0.114,0.008,9.14,6.462,1.346,1.01,NAN,-567.8,219.2,0,NAN,-273.2
9/30/17 20:00,217,273,2000,0.157,0.003,12.6,8.46,1.413,1.004,0.119,0.003,9.47,6.688,1.353,1.004,0.114,0.008,9.14,6.464,1.346,1.01,NAN,-565.8,218.9,0,NAN,-273.2
9/30/17 20:15,218,273,2015,0.157,0.004,12.45,8.46,1.413,1.004,0.119,0.003,9.5,6.689,1.353,1.004,0.114,0.008,9.12,6.464,1.346,1.01,NAN,-572,222,0,NAN,-273.2
9/30/17 20:30,219,273,2030,0.157,0.004,12.34,8.43,1.412,1.004,0.119,0.003,9.53,6.689,1.353,1.004,0.114,0.008,9.14,6.461,1.346,1.011,NAN,-570.4,221.1,0,NAN,-273.2
9/30/17 20:45,220,273,2045,0.157,0.003,12.2,8.43,1.412,1.004,0.119,0.003,9.53,6.688,1.353,1.004,0.114,0.008,9.13,6.462,1.346,1.01,NAN,-567.1,219.5,0,NAN,-273.2
9/30/17 21:00,221,273,2100,0.157,0.004,12.08,8.43,1.412,1.004,0.119,0.003,9.58,6.69,1.353,1.004,0.114,0.008,9.15,6.465,1.346,1.01,NAN,-564.1,218.4,0,NAN,-273.2
9/30/17 21:15,222,273,2115,0.157,0.003,11.93,8.43,1.412,1.004,0.119,0.003,9.58,6.687,1.353,1.004,0.114,0.008,9.13,6.461,1.346,1.011,NAN,-566.5,219.4,0,NAN,-273.2
9/30/17 21:30,223,273,2130,0.157,0.003,11.83,8.43,1.412,1.004,0.119,0.003,9.6,6.689,1.353,1.004,0.114,0.008,9.13,6.463,1.346,1.01,NAN,-565.4,219,0,NAN,-273.2
9/30/17 21:45,224,273,2145,0.157,0.003,11.69,8.43,1.412,1.004,0.119,0.003,9.62,6.689,1.353,1.004,0.114,0.008,9.12,6.463,1.346,1.01,NAN,-564.8,218.8,0,NAN,-273.2
9/30/17 22:00,225,273,2200,0.157,0.003,11.54,8.43,1.412,1.004,0.119,0.003,9.63,6.688,1.353,1.004,0.114,0.008,9.12,6.464,1.346,1.01,NAN,-562.8,217.9,0,NAN,-273.2
9/30/17 22:15,226,273,2215,0.157,0.003,11.42,8.43,1.412,1.004,0.119,0.003,9.66,6.688,1.353,1.004,0.114,0.008,9.16,6.465,1.346,1.01,NAN,-563.7,218.3,0,NAN,-273.2
9/30/17 22:30,227,273,2230,0.157,0.003,11.28,8.43,1.412,1.004,0.119,0.003,9.68,6.688,1.353,1.004,0.114,0.008,9.14,6.463,1.346,1.01,NAN,-557.8,215.4,0,NAN,-273.2
9/30/17 22:45,228,273,2245,0.157,0.003,11.15,8.43,1.412,1.004,0.119,0.003,9.69,6.689,1.353,1.004,0.114,0.008,9.14,6.46,1.346,1.011,NAN,-551.9,212.5,0,NAN,-273.2
9/30/17 23:00,229,273,2300,0.157,0.004,11.02,8.43,1.412,1.004,0.119,0.003,9.73,6.69,1.353,1.004,0.114,0.008,9.12,6.464,1.346,1.01,NAN,-556.1,215.2,0,NAN,-273.2
9/30/17 23:15,230,273,2315,0.156,0.003,10.88,8.4,1.411,1.004,0.119,0.003,9.74,6.689,1.353,1.004,0.114,0.008,9.13,6.462,1.346,1.01,NAN,-556.7,215.7,0,NAN,-273.2
9/30/17 23:30,231,273,2330,0.156,0.003,10.72,8.4,1.411,1.004,0.119,0.003,9.77,6.691,1.353,1.004,0.114,0.008,9.14,6.463,1.346,1.01,NAN,-548.2,212.1,0,NAN,-273.2
9/30/17 23:45,232,273,2345,0.156,0.003,10.62,8.4,1.411,1.004,0.12,0.003,9.77,6.719,1.354,1.004,0.114,0.008,9.16,6.463,1.346,1.01,NAN,-543.9,210.6,0,NAN,-273.2
