TOA5,CR1000_tower4_S,CR1000,75038,CR1000.Std.28,CPU:SH_tow4_South_2017.CR1,11039,SapFlow,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10)
TS,RN,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
10/4/19 18:30,6628,2.985,3.012,0.363,0.24,0.212,0.297,-2234,-379.6,0.256,-2280,-1730,0.469
10/4/19 18:45,6629,2.985,3.012,0.363,0.239,0.212,0.297,-2239,-393.4,0.256,-2283,-1732,0.467
10/4/19 19:00,6630,2.984,3.011,0.362,0.239,0.211,0.298,-2239,-405.6,0.256,-2283,-1728,0.466
10/4/19 19:15,6631,2.984,3.011,0.362,0.239,0.211,0.297,-2248,-416.4,0.256,-2286,-1733,0.465
10/4/19 19:30,6632,2.984,3.011,0.362,0.239,0.212,0.298,-2238,-406.6,0.256,-2285,-1723,0.463
10/4/19 19:45,6633,2.985,3.012,0.362,0.238,0.212,0.298,-2247,-64.3,0.256,-2292,-1737,0.462
10/4/19 20:00,6634,2.986,3.013,0.362,0.239,0.211,0.298,-2251,-21.94,0.256,-2294,-1736,0.463
10/4/19 20:15,6635,2.986,3.013,0.362,0.238,0.212,0.299,-2252,-21.28,0.256,-2296,-1738,0.468
10/4/19 20:30,6636,2.986,3.013,0.362,0.237,0.212,0.299,-2259,-20.87,0.255,-2298,-1741,0.466
10/4/19 20:45,6637,2.986,3.013,0.362,0.237,0.212,0.299,-2260,-20.48,0.255,-2299,-1740,0.465
10/4/19 21:00,6638,2.986,3.013,0.362,0.238,0.211,0.301,-2263,-20.08,0.255,-2301,-1742,0.465
10/4/19 21:15,6639,2.986,3.013,0.362,0.237,0.212,0.301,-2260,-19.59,0.255,-2303,-1743,0.465
10/4/19 21:30,6640,2.986,3.013,0.363,0.237,0.212,0.301,-2258,-19.26,0.255,-2305,-1744,0.465
10/4/19 21:45,6641,2.986,3.013,0.362,0.236,0.212,0.301,-2257,-18.92,0.255,-2306,-1744,0.465
10/4/19 22:00,6642,2.986,3.013,0.363,0.237,0.212,0.301,-2257,-18.42,0.254,-2308,-1744,0.464
10/4/19 22:15,6643,2.986,3.013,0.363,0.237,0.211,0.302,-2258,-18.04,0.254,-2308,-1746,0.464
10/4/19 22:30,6644,2.986,3.013,0.363,0.237,0.212,0.302,-2252,-17.72,0.255,-2309,-1745,0.464
10/4/19 22:45,6645,2.986,3.013,0.363,0.237,0.212,0.303,-2232,-17.48,0.254,-2309,-1742,0.464
10/4/19 23:00,6646,2.986,3.013,0.364,0.236,0.213,0.305,-2223,-17.24,0.255,-2312,-1747,0.465
10/4/19 23:15,6647,2.986,3.013,0.364,0.237,0.212,0.305,-2168,-17.24,0.254,-2310,-1745,0.465
10/4/19 23:30,6648,2.986,3.013,0.365,0.236,0.212,0.306,-2221,-16.86,0.255,-2311,-1745,0.465
10/4/19 23:45,6649,2.986,3.013,0.365,0.236,0.212,0.306,-2234,-16.66,0.255,-2312,-1745,0.465
10/5/19 0:00,6650,2.986,3.013,0.366,0.236,0.213,0.306,-2220,-16.38,0.254,-2312,-1746,0.466
10/5/19 0:15,6651,2.986,3.013,0.367,0.236,0.213,0.307,-2216,-16.05,0.255,-2312,-1748,0.467
10/5/19 0:30,6652,2.986,3.013,0.367,0.236,0.213,0.307,-2242,-15.76,0.254,-2313,-1748,0.467
10/5/19 0:45,6653,2.986,3.013,0.367,0.236,0.214,0.306,-2248,-15.48,0.254,-2312,-1748,0.467
10/5/19 1:00,6654,2.986,3.013,0.367,0.236,0.213,0.307,-2244,-15.18,0.254,-2312,-1746,0.467
10/5/19 1:15,6655,2.986,3.013,0.367,0.235,0.213,0.306,-2253,-14.53,0.254,-2313,-1749,0.467
10/5/19 1:30,6656,2.986,3.013,0.368,0.235,0.213,0.307,-2265,-14.02,0.254,-2312,-1745,0.468
10/5/19 1:45,6657,2.986,3.013,0.368,0.235,0.213,0.307,-2280,-13.47,0.254,-2312,-1743,0.468
10/5/19 2:00,6658,2.986,3.013,0.368,0.235,0.215,0.308,-2289,-13.09,0.254,-2314,-1749,0.469
10/5/19 2:15,6659,2.986,3.013,0.369,0.236,0.215,0.309,-2300,-12.87,0.254,-2316,-1752,0.47
10/5/19 2:30,6660,2.986,3.013,0.369,0.236,0.215,0.31,-2296,-12.57,0.254,-2316,-1750,0.47
10/5/19 2:45,6661,2.986,3.013,0.37,0.236,0.215,0.309,-2304,-12.36,0.254,-2317,-1752,0.47
10/5/19 3:00,6662,2.986,3.013,0.37,0.236,0.216,0.31,-2306,-12.18,0.255,-2315,-1749,0.471
10/5/19 3:15,6663,2.986,3.013,0.371,0.236,0.216,0.311,-2307,-12.04,0.255,-2317,-1750,0.471
10/5/19 3:30,6664,2.986,3.013,0.371,0.236,0.216,0.311,-2308,-11.78,0.255,-2317,-1749,0.472
10/5/19 3:45,6665,2.986,3.013,0.371,0.236,0.216,0.311,-2305,-11.6,0.256,-2316,-1746,0.472
10/5/19 4:00,6666,2.986,3.013,0.371,0.236,0.216,0.311,-2306,-11.47,0.256,-2316,-1748,0.473
10/5/19 4:15,6667,2.986,3.013,0.372,0.236,0.216,0.311,-2308,-11.32,0.255,-2317,-1748,0.473
10/5/19 4:30,6668,2.986,3.013,0.372,0.236,0.216,0.311,-2306,-11.21,0.256,-2318,-1750,0.472
10/5/19 4:45,6669,2.986,3.013,0.372,0.236,0.216,0.312,-2310,-11.09,0.255,-2318,-1750,0.473
10/5/19 5:00,6670,2.986,3.013,0.372,0.236,0.215,0.311,-2310,-10.98,0.255,-2319,-1750,0.473
10/5/19 5:15,6671,2.986,3.013,0.372,0.236,0.216,0.312,-2315,-10.89,0.255,-2321,-1755,0.473
10/5/19 5:30,6672,2.986,3.013,0.373,0.236,0.217,0.313,-2312,-10.86,0.256,-2319,-1750,0.474
10/5/19 5:45,6673,2.986,3.013,0.373,0.237,0.218,0.313,-2312,-10.83,0.256,-2320,-1751,0.475
10/5/19 6:00,6674,2.986,3.013,0.373,0.237,0.218,0.313,-2320,-10.79,0.256,-2328,-1770,0.475
10/5/19 6:15,6675,2.986,3.013,0.374,0.237,0.218,0.313,-2313,-10.7,0.256,-2319,-1752,0.475
10/5/19 6:30,6676,2.986,3.013,0.374,0.237,0.218,0.314,-2309,-10.6,0.256,-2318,-1750,0.476
10/5/19 6:45,6677,2.986,3.013,0.373,0.237,0.218,0.318,-2300,-10.8,0.257,-2317,-1746,0.476
10/5/19 7:00,6678,2.986,3.013,0.376,0.238,0.219,0.325,-2301,-10.95,0.257,-2315,-1745,0.476
10/5/19 7:15,6679,2.986,3.013,0.379,0.238,0.22,0.331,-2291,-11.35,0.256,-2315,-1746,0.476
10/5/19 7:30,6680,2.986,3.013,0.383,0.24,0.221,0.334,-2302,-11.86,0.255,-2314,-1747,0.474
10/5/19 7:45,6681,2.986,3.013,0.384,0.24,0.229,0.33,-2302,-12.18,0.252,-2312,-1745,0.47
10/5/19 8:00,6682,2.986,3.013,0.385,0.238,0.229,0.328,-2298,-12.57,0.248,-2307,-1741,0.47
10/5/19 8:15,6683,2.986,3.013,0.386,0.238,0.227,0.334,-2289,-12.5,0.246,-2302,-1737,0.472
10/5/19 8:30,6684,2.986,3.013,0.386,0.238,0.224,0.337,-2282,-11.96,0.246,-2296,-1736,0.473
10/5/19 8:45,6685,2.986,3.013,0.385,0.238,0.224,0.353,-2271,-11.53,0.248,-2283,-1718,0.473
10/5/19 9:00,6686,2.984,3.012,0.386,0.238,0.225,0.366,-2263,-11.82,0.25,-2275,-1716,0.472
